,,root
LRRCC1,cnv_del,1.8845944e-32
LRRCC1,cnv_amp,-2.118105e-32
AIF1L,mut_important,-1.4342909e-06
AIF1L,cnv_del,-7.0393635e-06
AIF1L,cnv_amp,1.1619552e-05
RMND5B,mut_important,-6.611529e-07
RMND5B,cnv_del,-9.6991943e-32
RMND5B,cnv_amp,-8.100684e-33
BTN3A2,mut_important,-2.4855737e-32
BTN3A2,cnv_del,-0.4746338
BTN3A2,cnv_amp,0.7069904
SSBP2,mut_important,3.6213885e-30
SSBP2,cnv_del,0.041026384
SSBP2,cnv_amp,-0.17812344
TRUB1,mut_important,0.18794706
TRUB1,cnv_del,-1.8894815e-30
TRUB1,cnv_amp,-6.5056e-24
MLF1,mut_important,-0.010283333
MLF1,cnv_del,0.020189218
MLF1,cnv_amp,0.014676783
ZNF335,mut_important,-1.8698694e-05
ZNF335,cnv_del,7.779104e-06
ZNF335,cnv_amp,6.353999e-06
NACC1,mut_important,0.016889317
NACC1,cnv_del,3.698851e-25
NACC1,cnv_amp,-3.4043257e-24
ELF2,mut_important,-8.820686e-33
ELF2,cnv_del,2.600973e-33
ELF2,cnv_amp,9.267911e-27
LMBR1L,mut_important,-3.7273423e-10
LMBR1L,cnv_del,4.3857217e-34
LMBR1L,cnv_amp,-8.8485637e-32
PARD6A,mut_important,-3.3235797e-10
PARD6A,cnv_del,-1.8471285e-32
PARD6A,cnv_amp,-3.6979247e-31
LDHAL6A,mut_important,0.0003812034
LDHAL6A,cnv_del,-0.000121276236
LDHAL6A,cnv_amp,2.3033805e-05
STIP1,mut_important,-3.1274587e-07
STIP1,cnv_del,-1.5316276e-07
STIP1,cnv_amp,3.255568e-07
IFIH1,mut_important,-2.1505497e-05
IFIH1,cnv_del,-9.882265e-06
IFIH1,cnv_amp,-6.067535e-05
FHAD1,mut_important,2.355767e-05
FHAD1,cnv_del,-0.0006092789
FHAD1,cnv_amp,0.0039802883
TOP1MT,mut_important,3.9115773e-13
TOP1MT,cnv_del,2.655272e-33
TOP1MT,cnv_amp,9.888418e-33
HEATR5A,mut_important,0.015495843
HEATR5A,cnv_del,4.145293e-25
HEATR5A,cnv_amp,-1.6575229e-32
ANKRD13C,mut_important,-3.3654682e-14
ANKRD13C,cnv_del,1.1214737e-22
ANKRD13C,cnv_amp,-1.737651e-24
IL17RC,mut_important,1.2145806e-07
IL17RC,cnv_del,8.924078e-34
IL17RC,cnv_amp,-9.7890497e-32
EXOSC1,mut_important,-9.894306e-09
EXOSC1,cnv_del,-1.9983748e-08
EXOSC1,cnv_amp,5.184951e-09
STXBP5,mut_important,3.0327957e-14
STXBP5,cnv_del,2.5154433e-32
STXBP5,cnv_amp,3.0066148e-33
PLA2G12A,mut_important,-1.1916256e-06
PLA2G12A,cnv_del,-1.17278506e-32
PLA2G12A,cnv_amp,4.8047046e-34
GDF3,mut_important,8.9295976e-32
GDF3,cnv_del,-6.5456616e-06
GDF3,cnv_amp,-0.00016144355
GMIP,mut_important,3.0707223e-27
GMIP,cnv_del,0.014611214
GMIP,cnv_amp,-0.00035296776
CHMP6,mut_important,3.216636e-05
CHMP6,cnv_del,-8.644468e-06
CHMP6,cnv_amp,2.9078587e-05
NLRP9,mut_important,-0.008030917
NLRP9,cnv_del,-0.0002809377
NLRP9,cnv_amp,-0.043047752
PZP,mut_important,-6.3487715e-34
PZP,cnv_del,9.0276773e-32
PZP,cnv_amp,9.533929e-33
ATP6V0E2,mut_important,2.0636605e-13
ATP6V0E2,cnv_del,7.181224e-33
ATP6V0E2,cnv_amp,4.444372e-25
KCNMB3,mut_important,-0.0005851641
KCNMB3,cnv_del,1.2824534e-27
KCNMB3,cnv_amp,-1.7380574e-32
CPNE4,mut_important,-0.07136288
CPNE4,cnv_del,-0.044168368
CPNE4,cnv_amp,-0.00430164
ATP6V0B,mut_important,0.002813761
ATP6V0B,cnv_del,8.0790756e-05
ATP6V0B,cnv_amp,0.0028399145
SFPQ,mut_important,-0.039363872
SFPQ,cnv_del,0.04821612
SFPQ,cnv_amp,0.0008761425
KCNE4,mut_important,-2.528097e-32
KCNE4,cnv_del,0.23480637
KCNE4,cnv_amp,0.014665943
ZNF449,mut_important,-0.58774734
ZNF449,cnv_del,-0.67437524
ZNF449,cnv_amp,1.2060829e-32
SLC11A2,mut_important,-1.2917547e-32
SLC11A2,cnv_del,0.14228536
SLC11A2,cnv_amp,-0.07998428
TRRAP,mut_important,2.599523e-05
TRRAP,cnv_del,1.5289969e-06
TRRAP,cnv_amp,-1.39821395e-05
CYBRD1,mut_important,-2.079998e-06
CYBRD1,cnv_del,-5.837937e-06
CYBRD1,cnv_amp,2.2616387e-06
ISM1,mut_important,3.9470086e-10
ISM1,cnv_del,1.1232657e-34
ISM1,cnv_amp,-1.2550014e-32
SEMA4B,mut_important,0.08279337
SEMA4B,cnv_del,0.057131145
SEMA4B,cnv_amp,0.34418762
PRKCB,mut_important,-1.2550792e-10
PRKCB,cnv_del,8.439263e-34
PRKCB,cnv_amp,-1.5157173e-33
NSUN5,mut_important,-7.038021e-33
NSUN5,cnv_del,7.703374e-14
NSUN5,cnv_amp,2.94421e-14
PEG3,mut_important,1.580186e-14
PEG3,cnv_del,1.6143199e-15
PEG3,cnv_amp,-6.9931426e-15
FAM102B,mut_important,2.616267e-06
FAM102B,cnv_del,-3.698318e-08
FAM102B,cnv_amp,-2.4974668e-06
IDO2,mut_important,-8.4457696e-07
IDO2,cnv_del,-6.3613976e-07
IDO2,cnv_amp,6.3379923e-07
STX1A,mut_important,3.4895107e-05
STX1A,cnv_del,9.094137e-05
STX1A,cnv_amp,6.0155287e-07
SGSH,mut_important,-0.016414868
SGSH,cnv_del,0.0018328029
SGSH,cnv_amp,0.037999894
NKIRAS2,mut_important,-7.5533026e-05
NKIRAS2,cnv_del,0.08867739
NKIRAS2,cnv_amp,-0.035038028
WIPI2,mut_important,1.3086607e-06
WIPI2,cnv_del,-2.127058e-06
WIPI2,cnv_amp,1.2124248e-05
RBBP7,mut_important,-0.49376315
RBBP7,cnv_del,-0.18155588
RBBP7,cnv_amp,-0.32332373
TAF4B,mut_important,-1.4091452e-05
TAF4B,cnv_del,-1.6818403e-32
TAF4B,cnv_amp,-7.947964e-33
STX16,mut_important,1.221501e-06
STX16,cnv_del,-2.0989144e-32
STX16,cnv_amp,6.0242932e-33
STATH,mut_important,3.9211738e-08
STATH,cnv_del,-4.5192137e-33
STATH,cnv_amp,6.220384e-33
CACNB1,mut_important,-0.23191427
CACNB1,cnv_del,0.1825661
CACNB1,cnv_amp,0.4227782
RHOBTB1,mut_important,-0.048001435
RHOBTB1,cnv_del,0.10589018
RHOBTB1,cnv_amp,0.38816312
METTL6,mut_important,-8.8222414e-32
METTL6,cnv_del,0.09790635
METTL6,cnv_amp,-0.25237077
SYPL1,mut_important,-0.010990999
SYPL1,cnv_del,-0.14610532
SYPL1,cnv_amp,-0.32296094
FAM186B,mut_important,0.06050401
FAM186B,cnv_del,-0.17571189
FAM186B,cnv_amp,0.021135328
FAM47A,mut_important,-0.07481899
FAM47A,cnv_del,0.28999105
FAM47A,cnv_amp,-0.12006481
PRG3,mut_important,-5.5459685e-05
PRG3,cnv_del,1.6151022e-05
PRG3,cnv_amp,-5.6522516e-05
ZNF347,mut_important,-4.7322335e-13
ZNF347,cnv_del,-4.030766e-14
ZNF347,cnv_amp,-4.5157015e-13
DCD,mut_important,-7.342537e-05
DCD,cnv_del,-2.540371e-06
DCD,cnv_amp,-3.4241384e-05
