,,coef
CHRNA6,cnv_amp,6.670664e-19
TNFRSF10D,mut_important,0.0
TNFRSF10D,cnv_del,1.3939753e-27
TNFRSF10D,cnv_amp,0.0
FAM161A,mut_important,0.0
FAM161A,cnv_del,0.0
FAM161A,cnv_amp,0.0
TTR,mut_important,0.0
TTR,cnv_del,0.0
TTR,cnv_amp,0.0
NAF1,mut_important,0.0
NAF1,cnv_del,0.0
NAF1,cnv_amp,0.0
TGFBI,mut_important,1.1463919e-11
TGFBI,cnv_del,9.2255156e-36
TGFBI,cnv_amp,0.0
PLD3,mut_important,0.0
PLD3,cnv_del,0.0
PLD3,cnv_amp,0.0
EIF3A,mut_important,4.5438997e-13
EIF3A,cnv_del,0.0
EIF3A,cnv_amp,0.0
SREBF2,mut_important,6.597589e-27
SREBF2,cnv_del,0.0
SREBF2,cnv_amp,0.0
CANX,mut_important,0.0
CANX,cnv_del,7.3504576e-13
CANX,cnv_amp,8.879982e-12
MOV10,mut_important,1.7106673e-12
MOV10,cnv_del,0.0
MOV10,cnv_amp,8.680291e-12
TARS2,mut_important,1.401824e-09
TARS2,cnv_del,5.647198e-10
TARS2,cnv_amp,9.341498e-08
KANSL3,mut_important,0.0
KANSL3,cnv_del,0.0
KANSL3,cnv_amp,0.0
HEXB,mut_important,2.0663202e-38
HEXB,cnv_del,2.1157893e-12
HEXB,cnv_amp,1.5780114e-12
RP1,mut_important,0.0
RP1,cnv_del,0.0
RP1,cnv_amp,0.0
IDH3G,mut_important,0.0
IDH3G,cnv_del,0.0
IDH3G,cnv_amp,0.0
DRGX,mut_important,0.0
DRGX,cnv_del,0.0
DRGX,cnv_amp,0.0
MASP2,mut_important,1.7447187e-10
MASP2,cnv_del,1.8823312e-10
MASP2,cnv_amp,1.4560442e-09
XRCC5,mut_important,0.0
XRCC5,cnv_del,0.0
XRCC5,cnv_amp,3.9611805e-06
FABP9,mut_important,0.0
FABP9,cnv_del,1.3235797e-09
FABP9,cnv_amp,2.0650498e-08
UGT2A1,mut_important,0.0
UGT2A1,cnv_del,0.0
UGT2A1,cnv_amp,0.0
TMEM181,mut_important,0.0
TMEM181,cnv_del,0.0
TMEM181,cnv_amp,0.0
CAMK2N2,mut_important,0.0
CAMK2N2,cnv_del,0.0
CAMK2N2,cnv_amp,0.0
FCHSD1,mut_important,0.0
FCHSD1,cnv_del,0.0
FCHSD1,cnv_amp,0.0
LETMD1,mut_important,0.0
LETMD1,cnv_del,0.0
LETMD1,cnv_amp,0.0
PTH,mut_important,0.0
PTH,cnv_del,0.0
PTH,cnv_amp,0.0
SMARCE1,mut_important,0.0
SMARCE1,cnv_del,0.0
SMARCE1,cnv_amp,0.0
CHAT,mut_important,2.2249105e-09
CHAT,cnv_del,2.6362212e-09
CHAT,cnv_amp,1.2868162e-08
MIP,mut_important,0.0
MIP,cnv_del,0.0
MIP,cnv_amp,0.0
EXOC6B,mut_important,0.0
EXOC6B,cnv_del,0.0
EXOC6B,cnv_amp,0.0
METTL7A,mut_important,0.0
METTL7A,cnv_del,0.0
METTL7A,cnv_amp,0.0
HLF,mut_important,0.0
HLF,cnv_del,0.0
HLF,cnv_amp,0.0
GNA11,mut_important,2.4093753e-20
GNA11,cnv_del,0.0
GNA11,cnv_amp,0.0
FAM50B,mut_important,0.0
FAM50B,cnv_del,0.0
FAM50B,cnv_amp,0.0
GLUD2,mut_important,0.0
GLUD2,cnv_del,0.0
GLUD2,cnv_amp,0.0
GARS,mut_important,0.0
GARS,cnv_del,0.0
GARS,cnv_amp,1.6399973e-06
ZNF697,mut_important,0.0
ZNF697,cnv_del,0.0
ZNF697,cnv_amp,0.0
VARS,mut_important,0.0
VARS,cnv_del,0.0
VARS,cnv_amp,2.070154e-10
TUT1,mut_important,0.0
TUT1,cnv_del,0.0
TUT1,cnv_amp,0.0
JMJD8,mut_important,0.0
JMJD8,cnv_del,0.0
JMJD8,cnv_amp,0.0
SPHAR,mut_important,0.0
SPHAR,cnv_del,0.0
SPHAR,cnv_amp,0.0
TTC21B,mut_important,5.538565e-18
TTC21B,cnv_del,3.3853296e-17
TTC21B,cnv_amp,1.1234058e-18
ZNF471,mut_important,0.0
ZNF471,cnv_del,0.0
ZNF471,cnv_amp,0.0
KLHL26,mut_important,0.0
KLHL26,cnv_del,0.0
KLHL26,cnv_amp,0.0
OR6Q1,mut_important,0.0
OR6Q1,cnv_del,0.0
OR6Q1,cnv_amp,0.0
ACTR5,mut_important,0.0
ACTR5,cnv_del,0.0
ACTR5,cnv_amp,0.0
DOPEY1,mut_important,0.0
DOPEY1,cnv_del,0.0
DOPEY1,cnv_amp,0.0
ACAD10,mut_important,0.0
ACAD10,cnv_del,0.0
ACAD10,cnv_amp,0.0
EIF3E,mut_important,0.0
EIF3E,cnv_del,6.847783e-07
EIF3E,cnv_amp,4.003469e-35
CDK9,mut_important,0.0
CDK9,cnv_del,0.0
CDK9,cnv_amp,1.9440685e-09
RAB10,mut_important,0.0
RAB10,cnv_del,1.0266777e-30
