,fanin,fanout,degree
R-HSA-9018676,1.0,1.0,2.0
R-HSA-9018681,1.0,1.0,2.0
R-HSA-9018682,3.0,1.0,4.0
R-HSA-9020265,1.0,1.0,2.0
R-HSA-9026395,0.0,1.0,1.0
R-HSA-9018896,1.0,1.0,2.0
R-HSA-9023661,1.0,1.0,2.0
R-HSA-9025094,2.0,1.0,3.0
R-HSA-9025106,1.0,1.0,2.0
R-HSA-9034013,2.0,1.0,3.0
R-HSA-9034793,3.0,1.0,4.0
R-HSA-9034864,6.0,1.0,7.0
R-HSA-9603381,6.0,1.0,7.0
R-HSA-9603505,2.0,1.0,3.0
R-HSA-167060,2.0,1.0,3.0
R-HSA-912694,12.0,1.0,13.0
R-HSA-977068,9.0,1.0,10.0
R-HSA-964739,3.0,1.0,4.0
R-HSA-975576,15.0,1.0,16.0
R-HSA-977441,8.0,1.0,9.0
R-HSA-977442,2.0,1.0,3.0
R-HSA-977444,22.0,1.0,23.0
R-HSA-75205,4.0,1.0,5.0
R-HSA-75892,6.0,1.0,7.0
R-HSA-111452,2.0,1.0,3.0
R-HSA-111453,3.0,1.0,4.0
R-HSA-111457,2.0,1.0,3.0
R-HSA-114294,2.0,1.0,3.0
R-HSA-75108,3.0,1.0,4.0
R-HSA-110312,10.0,1.0,11.0
R-HSA-110320,10.0,1.0,11.0
R-HSA-5655862,11.0,1.0,12.0
R-HSA-5656121,11.0,1.0,12.0
R-HSA-5656169,21.0,1.0,22.0
R-HSA-112303,3.0,1.0,4.0
R-HSA-181429,8.0,1.0,9.0
R-HSA-181430,7.0,1.0,8.0
R-HSA-210500,11.0,1.0,12.0
R-HSA-212676,10.0,1.0,11.0
R-HSA-264642,10.0,1.0,11.0
R-HSA-210455,3.0,1.0,4.0
R-HSA-112308,6.0,1.0,7.0
R-HSA-426048,3.0,1.0,4.0
R-HSA-1433617,6.0,1.0,7.0
R-HSA-1300642,4.0,1.0,5.0
R-HSA-1300644,5.0,1.0,6.0
R-HSA-1300645,0.0,1.0,1.0
R-HSA-1300652,2.0,1.0,3.0
R-HSA-2534343,0.0,1.0,1.0
R-HSA-1250196,14.0,1.0,15.0
R-HSA-1251932,3.0,1.0,4.0
R-HSA-1306955,4.0,1.0,5.0
R-HSA-1963640,9.0,1.0,10.0
R-HSA-1963642,10.0,1.0,11.0
R-HSA-6785631,9.0,1.0,10.0
R-HSA-8847993,8.0,1.0,9.0
R-HSA-1250342,6.0,1.0,7.0
R-HSA-1250347,8.0,1.0,9.0
R-HSA-1251985,17.0,1.0,18.0
R-HSA-1253288,7.0,1.0,8.0
R-HSA-198323,13.0,1.0,14.0
R-HSA-198693,8.0,1.0,9.0
R-HSA-381340,35.0,1.0,36.0
R-HSA-5682910,7.0,1.0,8.0
R-HSA-1170546,8.0,1.0,9.0
R-HSA-982772,11.0,1.0,12.0
R-HSA-198933,22.0,1.0,23.0
R-HSA-2132295,61.0,1.0,62.0
R-HSA-392517,8.0,1.0,9.0
R-HSA-8851680,8.0,1.0,9.0
R-HSA-1296025,2.0,1.0,3.0
R-HSA-1296053,2.0,1.0,3.0
R-HSA-1296067,2.0,1.0,3.0
R-HSA-1296052,3.0,1.0,4.0
R-HSA-1296061,3.0,1.0,4.0
R-HSA-1296072,17.0,1.0,18.0
R-HSA-1299287,0.0,1.0,1.0
R-HSA-1299308,2.0,1.0,3.0
R-HSA-1299316,0.0,1.0,1.0
R-HSA-1299344,1.0,1.0,2.0
R-HSA-1299361,2.0,1.0,3.0
R-HSA-1299503,0.0,1.0,1.0
R-HSA-2395516,2.0,1.0,3.0
R-HSA-140834,2.0,1.0,3.0
R-HSA-140837,4.0,1.0,5.0
R-HSA-140875,12.0,1.0,13.0
R-HSA-1475029,4.0,1.0,5.0
R-HSA-2564830,10.0,1.0,11.0
R-HSA-71737,1.0,1.0,2.0
R-HSA-1433559,10.0,1.0,11.0
R-HSA-1442490,12.0,1.0,13.0
R-HSA-1592389,12.0,1.0,13.0
