,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
TGFBRAP1,0.0,0.0,0.0,-0.056590393,0.22805494
DNM3,0.0007356871,3.0,0.0007356871,3.4935877,2.2913606
CTDSPL,0.0,0.0,0.0,-0.056590393,0.22805494
PTAR1,0.0,0.0,0.0,-0.056590393,0.22805494
DCX,9.73887e-09,1.0,9.73887e-09,-0.056543395,0.06808655
PARVB,0.0,1.0,0.0,-0.056590393,0.06805289
AARS,0.0,1.0,0.0,-0.056590393,0.06805289
LDLRAD3,0.0,0.0,0.0,-0.056590393,0.22805494
ASB17,1.2559542e-09,2.0,1.2559542e-09,-0.056584332,-0.09194481
AP1S3,2.0062646e-14,4.0,2.0062646e-14,-0.056590393,-0.41195324
XXYLT1,0.0,0.0,0.0,-0.056590393,0.22805494
FASTKD1,0.0,0.0,0.0,-0.056590393,0.22805494
EPHX1,0.0,0.0,0.0,-0.056590393,0.22805494
XPO7,0.0,0.0,0.0,-0.056590393,0.22805494
DDAH2,0.0,1.0,0.0,-0.056590393,0.06805289
SLC17A7,0.0,2.0,0.0,-0.056590393,-0.09194915
TMEM42,0.0,0.0,0.0,-0.056590393,0.22805494
PLSCR5,0.0,0.0,0.0,-0.056590393,0.22805494
HRAS,0.0005578703,39.0,1.4304367e-05,0.012437668,-4.083436
STT3B,0.0,0.0,0.0,-0.056590393,0.22805494
KRBA2,0.0,0.0,0.0,-0.056590393,0.22805494
TMED7,1.1093159e-10,2.0,1.1093159e-10,-0.056589857,-0.09194876
GPR119,0.0,0.0,0.0,-0.056590393,0.22805494
SLN,0.0,0.0,0.0,-0.056590393,0.22805494
MAGED2,0.0,1.0,0.0,-0.056590393,0.06805289
TBC1D21,0.0,0.0,0.0,-0.056590393,0.22805494
PATL1,5.6638383e-14,1.0,5.6638383e-14,-0.056590393,0.06805289
MYOD1,1.1819892e-10,1.0,1.1819892e-10,-0.05658982,0.0680533
PITPNB,0.0,1.0,0.0,-0.056590393,0.06805289
TMEM41B,0.0,0.0,0.0,-0.056590393,0.22805494
CAMLG,0.0,0.0,0.0,-0.056590393,0.22805494
NPVF,0.0,0.0,0.0,-0.056590393,0.22805494
