ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
TCGA-EJ-5521,1.0105964e-06,-2.2965557e-06,-2.0937061e-06,-6.125293e-11,-1.4995459e-08,-0.0,1.9562588e-06,1.2323554e-06,1.1250929e-09,0.0,-0.0,1.7440951e-10,6.7253364e-07,-0.0,-2.1033943e-08,0.0,-0.0,-0.0,1.3666069e-06,-1.3546184e-10,1.1825889e-10,5.8235055e-06,0.0,0.0,0.00014314274,-0.0
TCGA-EJ-7781,1.0090334e-06,-6.5086286e-05,-2.0931955e-06,-6.1248964e-11,7.1266663e-06,-0.0,8.583956e-09,1.0469631e-09,1.1250201e-09,0.0,-0.0,-0.0,-0.0,-0.0,-2.5086132e-07,0.0,-0.0,-0.0,-1.512701e-06,-1.3545307e-10,1.1825124e-10,1.0241222e-08,0.0,0.0,-4.8889237e-06,-4.91982e-10
TCGA-EJ-7784,-0.0,-8.9771225e-07,3.494622e-09,6.9950393e-06,-2.658846e-05,-0.0,2.4862245e-05,-1.07432725e-05,5.7698214e-11,0.0,1.987105e-09,-2.2445205e-05,-4.752594e-10,-1.0937866e-05,-4.4161057e-05,0.0,-0.0,3.555942e-08,-7.1033406e-07,2.6511757e-06,1.6722139e-07,8.58241e-06,0.0,-1.3602433e-08,6.2681233e-06,-0.0
TCGA-EJ-A65B,-0.0,0.0,-1.3417877e-08,-6.1264556e-11,-8.57046e-11,-0.0,1.3066086e-06,3.7176648e-08,5.7708022e-11,0.0,-0.0,-0.0,7.9180715e-08,-0.0,-0.0,-3.3555853e-10,-0.0,-0.0,-1.0519413e-09,-1.3548754e-10,1.1828134e-10,0.0,0.0,0.0,-0.00016232334,-4.0219792e-08
TCGA-EJ-A7NM,-1.9392646e-05,3.5654175e-05,-2.3792003e-05,2.676825e-06,0.0010608807,9.143964e-06,-2.3233291e-05,1.0472387e-09,1.1253163e-09,8.4784355e-05,-0.0,-3.2050625e-06,-1.0969486e-10,6.402726e-06,-0.00010271841,2.2370765e-10,-3.9342368e-07,0.00012129016,-8.53124e-05,3.2819435e-06,-4.849577e-08,-3.8907016e-05,0.0,0.0,-5.4986143e-05,-0.0
TCGA-G9-6356,-0.0,7.955612e-08,-0.0,-6.125742e-11,0.0,-0.0,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
TCGA-G9-6361,-2.7707973e-08,-0.00037634658,1.4588594e-05,-2.6063013e-08,2.0517986e-07,1.4249841e-06,-0.0002778628,1.0470265e-09,5.769683e-11,0.0,-0.0,6.273484e-07,-5.4964264e-08,3.0884796e-05,-9.494375e-05,0.0,-4.505451e-06,-1.6435781e-07,1.2249321e-05,-1.513143e-05,5.461173e-07,-1.46643315e-05,0.0,0.0,-0.00010067631,-0.0
TCGA-G9-6370,-0.0,0.0,-0.0,-6.125742e-11,0.0,-0.0,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,2.9248298e-10,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
TCGA-G9-6496,1.5999965e-05,-0.00016974646,-1.4815039e-07,-2.7368233e-07,1.9825837e-05,-4.3820528e-08,1.2566295e-05,6.286179e-05,0.0,0.0,1.1627822e-08,-0.00020578969,-4.149827e-09,-3.660694e-05,6.1537853e-06,1.5714345e-08,3.1812544e-06,2.5644158e-06,-2.5063569e-06,-2.3216644e-05,3.5127368e-08,3.0576686e-10,0.0,-2.7100907e-06,-0.00014866,-1.0639493e-10
TCGA-G9-A9S7,7.48922e-09,-0.00046844347,-1.6333044e-05,-1.24658825e-08,-2.110658e-06,-5.9515315e-10,2.5106985e-05,1.0471073e-09,1.0674739e-09,0.0,-0.0,-0.0,-2.2484625e-09,2.5802005e-09,1.5298529e-09,0.0,-0.0,-2.1381843e-06,2.3811856e-06,-1.3547173e-10,-6.0671243e-07,0.0,0.0,1.6773665e-05,0.0005266759,-0.0
