,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
PRPF3,2.7086317e-06,1.0,2.7086317e-06,-0.10175502,0.060746923
SIPA1L2,0.0,0.0,0.0,-0.10343876,0.23665415
TCF3,7.9531375e-08,2.0,7.9531375e-08,-0.10338932,-0.1177019
LYZL6,0.0,0.0,0.0,-0.10343876,0.23665415
SH3KBP1,3.2032098e-05,6.0,3.2032098e-05,-0.08352706,-0.8112755
FSIP1,0.0,0.0,0.0,-0.10343876,0.23665415
ANKRD50,0.0,0.0,0.0,-0.10343876,0.23665415
ADNP2,0.0,0.0,0.0,-0.10343876,0.23665415
CCSAP,0.0,0.0,0.0,-0.10343876,0.23665415
DPYD,3.463978e-08,1.0,3.463978e-08,-0.103417225,0.059473697
PGAM1,0.000107538704,2.0,0.000107538704,-0.03659087,-0.06653526
ATP11B,8.213534e-06,2.0,8.213534e-06,-0.09833308,-0.1138289
CCDC65,0.0,0.0,0.0,-0.10343876,0.23665415
CRX,0.0,0.0,0.0,-0.10343876,0.23665415
UHRF1BP1,0.0,0.0,0.0,-0.10343876,0.23665415
NAGK,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF24,0.0,0.0,0.0,-0.10343876,0.23665415
UBE2V2,1.9097983e-05,6.0,1.9097983e-05,-0.09156713,-0.8174341
SMAD6,8.2288636e-07,2.0,8.2288636e-07,-0.10292724,-0.11734795
ZFP69B,0.0,0.0,0.0,-0.10343876,0.23665415
MORF4L2,4.6703665e-08,1.0,4.6703665e-08,-0.10340973,0.05947944
TMEM63B,0.0,0.0,0.0,-0.10343876,0.23665415
PTPN6,8.805383e-06,13.0,8.805383e-06,-0.09796518,-2.0627136
ZNF74,0.0,0.0,0.0,-0.10343876,0.23665415
TANGO6,0.0,0.0,0.0,-0.10343876,0.23665415
NFYB,1.0207325e-06,1.0,1.0207325e-06,-0.10280425,0.05994323
SFMBT2,0.0,0.0,0.0,-0.10343876,0.23665415
FZD1,1.8583019e-06,2.0,1.8583019e-06,-0.1022836,-0.116854936
MARK2,0.0,0.0,0.0,-0.10343876,0.23665415
ZPR1,0.0,0.0,0.0,-0.10343876,0.23665415
CPA3,1.0349376e-09,1.0,1.0349376e-09,-0.10343811,0.059457697
PSMD6,0.0041503133,47.0,8.8304536e-05,-0.048547156,-6.1154337
BIN1,0.0,0.0,0.0,-0.10343876,0.23665415
SART3,0.0,0.0,0.0,-0.10343876,0.23665415
TEX33,0.0,0.0,0.0,-0.10343876,0.23665415
RUNDC3A,0.0,0.0,0.0,-0.10343876,0.23665415
NARS2,1.8641637e-06,1.0,1.8641637e-06,-0.10227996,0.060344826
MLLT11,0.0,0.0,0.0,-0.10343876,0.23665415
CCDC36,0.0,0.0,0.0,-0.10343876,0.23665415
IRF2,0.0,0.0,0.0,-0.10343876,0.23665415
SH3BP5L,0.0,0.0,0.0,-0.10343876,0.23665415
PEX13,1.3212514e-06,1.0,1.3212514e-06,-0.10261744,0.06008632
CERK,3.4366135e-08,1.0,3.4366135e-08,-0.10341739,0.05947357
KDM4C,4.2828586e-05,2.0,4.2828586e-05,-0.07681578,-0.097346954
MTERF1,8.402474e-07,2.0,8.402474e-07,-0.10291645,-0.117339686
SGTB,0.0,0.0,0.0,-0.10343876,0.23665415
DPP8,0.0,0.0,0.0,-0.10343876,0.23665415
HIST1H2AC,5.2539453e-05,27.0,5.2539453e-05,-0.07077934,-4.522647
WDR38,0.0,0.0,0.0,-0.10343876,0.23665415
RBM5,1.4072454e-08,1.0,1.4072454e-08,-0.10343001,0.059463903
DRD3,3.0576345e-08,1.0,3.0576345e-08,-0.10341975,0.059471767
TUBG2,0.00011082971,2.0,0.00011082971,-0.034545127,-0.06496825
RPL13,3.687692e-05,12.0,3.687692e-05,-0.08051543,-1.8721504
MAP3K7CL,0.0,0.0,0.0,-0.10343876,0.23665415
RAD17,2.8136408e-06,5.0,2.8136408e-06,-0.10168975,-0.64799094
BEX4,0.0,0.0,0.0,-0.10343876,0.23665415
SGSM1,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF202,0.0,0.0,0.0,-0.10343876,0.23665415
RPS5,8.662632e-06,15.0,8.662632e-06,-0.09805391,-2.4171753
DNAH1,0.0,0.0,0.0,-0.10343876,0.23665415
UBE2M,1.1883856e-06,4.0,1.1883856e-06,-0.10270004,-0.4715678
DHRS1,0.0,0.0,0.0,-0.10343876,0.23665415
RFK,1.1602939e-06,1.0,1.1602939e-06,-0.1027175,0.060009684
LTA4H,0.0005494105,7.0,0.0005494105,0.23808415,-0.742123
TSPAN17,0.0,0.0,0.0,-0.10343876,0.23665415
