,coef
R-HSA-9017802,2.9252642e-06
R-HSA-9018676,0.00036004966
R-HSA-9018681,1.8175742e-05
R-HSA-9018682,0.0013875819
R-HSA-9020265,0.0031717878
R-HSA-9026395,0.0
R-HSA-9018896,0.0037222258
R-HSA-9023661,0.0009222021
R-HSA-9025094,0.01387603
R-HSA-9025106,0.00012537144
R-HSA-9034013,0.0003236738
R-HSA-9034793,0.006945385
R-HSA-9034864,0.015555883
R-HSA-9603381,0.03000993
R-HSA-9603505,0.0012148832
R-HSA-167060,0.0015901258
R-HSA-912694,0.016089203
R-HSA-977068,0.0023712567
R-HSA-964739,0.0036466655
R-HSA-975576,0.008137381
R-HSA-977441,0.000752357
R-HSA-977442,0.00010115564
R-HSA-977444,0.004425532
R-HSA-75205,0.025101867
R-HSA-75892,0.00087311957
R-HSA-111452,0.00025703458
R-HSA-111453,0.00030878818
R-HSA-111457,5.473142e-05
R-HSA-114294,0.00033862802
R-HSA-75108,0.00064348115
R-HSA-110312,0.014312934
R-HSA-110320,0.0030277309
R-HSA-5655862,0.052994482
R-HSA-5656121,0.003986232
R-HSA-5656169,0.0274373
R-HSA-112303,0.0039523193
R-HSA-181429,0.008937616
R-HSA-181430,0.058374427
R-HSA-210500,0.041403584
R-HSA-212676,0.10467853
R-HSA-264642,0.00035895192
R-HSA-210455,0.00083220337
R-HSA-112308,0.05408821
R-HSA-426048,0.002073797
R-HSA-1433617,1.25787365e-05
R-HSA-1300642,0.016853126
R-HSA-1300644,0.0005623185
R-HSA-1300645,0.0
R-HSA-1300652,0.0003198454
R-HSA-2534343,0.0
R-HSA-1250196,0.0013017586
R-HSA-1251932,0.0006498121
R-HSA-1306955,0.00063175516
R-HSA-1963640,0.0007771683
R-HSA-1963642,4.0277588e-05
R-HSA-6785631,0.00084497477
R-HSA-8847993,0.0027305146
R-HSA-1250342,0.00023865081
R-HSA-1250347,0.00060269336
R-HSA-1251985,0.003024126
R-HSA-1253288,0.006533169
R-HSA-198323,0.006318696
R-HSA-198693,0.0009256954
R-HSA-381340,0.004064808
R-HSA-5682910,9.592122e-06
R-HSA-1170546,0.0006658421
R-HSA-982772,0.024200732
R-HSA-198933,0.023987252
R-HSA-2132295,0.00039562417
R-HSA-392517,0.0036152485
R-HSA-8851680,0.024293333
R-HSA-1296025,7.600374e-05
R-HSA-1296053,0.001943853
R-HSA-1296067,0.00017263836
R-HSA-1296052,0.0016218465
R-HSA-1296061,0.008148036
R-HSA-1296072,0.0013386523
R-HSA-1299287,0.0
R-HSA-1299308,0.012683364
R-HSA-1299316,0.0
R-HSA-1299344,8.2945386e-13
R-HSA-1299361,0.0045630033
R-HSA-1299503,0.0
R-HSA-2395516,0.008172361
R-HSA-140834,0.0007337289
R-HSA-140837,0.008653826
R-HSA-140875,0.005455942
R-HSA-1475029,0.019015947
R-HSA-2564830,7.858845e-05
R-HSA-71737,0.00029617053
R-HSA-1433559,0.0024355657
R-HSA-1442490,0.00029776472
R-HSA-1592389,0.0017650252
R-HSA-1566977,0.010432665
R-HSA-216083,0.096776694
R-HSA-3000157,0.06687003
R-HSA-3000178,0.031769346
R-HSA-8941237,0.0063317656
R-HSA-1237044,0.0004888455
R-HSA-1247673,0.00011916462
R-HSA-1855156,0.0
R-HSA-1855167,0.009035704
R-HSA-1855170,0.0
R-HSA-1855183,0.015511921
R-HSA-1855184,0.0
R-HSA-1855191,0.0006205672
R-HSA-1855192,0.0
R-HSA-1855196,0.0
R-HSA-1855204,0.0015270534
R-HSA-1855215,0.0
R-HSA-1855229,0.0
R-HSA-1855231,0.0
R-HSA-1221632,0.00093987817
R-HSA-912446,0.017019292
R-HSA-373753,0.00017349346
R-HSA-391160,6.6820917e-07
R-HSA-2473224,0.00021317939
R-HSA-156581,0.0020402744
R-HSA-156582,0.0
R-HSA-174362,0.0332646
R-HSA-2129379,0.008831245
R-HSA-156902,0.02697788
R-HSA-171306,0.089212
R-HSA-499943,0.0014627189
R-HSA-2151201,1.3978153e-05
R-HSA-2151209,0.002813746
R-HSA-8949613,0.026022108
R-HSA-1237112,0.008133138
R-HSA-1614603,0.0013327643
R-HSA-2028269,4.780876e-05
R-HSA-2586552,0.02599616
R-HSA-162699,2.174719e-10
R-HSA-162710,0.018483814
R-HSA-162791,0.007632232
R-HSA-163210,0.0
R-HSA-164378,0.0066054766
R-HSA-163358,0.00040024804
R-HSA-163680,0.0010506248
R-HSA-163754,0.00059195387
R-HSA-163765,5.395052e-07
R-HSA-163767,0.0074056764
R-HSA-1663150,0.0012976326
R-HSA-204626,0.0039207563
R-HSA-5358493,0.015110193
R-HSA-8948216,0.30690646
R-HSA-165181,9.4139534e-05
R-HSA-166208,0.005400126
R-HSA-380972,0.0025987308
R-HSA-166665,0.015935825
R-HSA-174577,0.0
R-HSA-977606,0.03482508
R-HSA-1222556,0.0026244244
R-HSA-6798695,0.0006561984
R-HSA-879415,0.014637846
R-HSA-168638,0.08617596
R-HSA-1679131,0.0012900569
R-HSA-5686938,0.012867703
R-HSA-918233,0.00086738745
R-HSA-933541,0.0035359638
R-HSA-933542,0.0058779106
R-HSA-933543,0.0034663808
R-HSA-936440,0.0044182586
R-HSA-211728,0.00011659153
R-HSA-211733,3.3448152e-05
R-HSA-2173791,0.00079166034
R-HSA-179812,0.0014986796
R-HSA-180292,3.4052286e-05
R-HSA-180336,0.0011138223
R-HSA-182971,0.00052013126
R-HSA-212718,0.0003023598
R-HSA-3134963,0.0025219074
R-HSA-3134973,0.0022498013
R-HSA-210744,0.0019466415
R-HSA-210746,0.001161229
R-HSA-210747,0.0020256485
R-HSA-186763,5.3659287e-06
R-HSA-189451,0.00873842
R-HSA-189483,0.0021874001
R-HSA-1912399,0.0038944646
R-HSA-1912408,0.006397791
R-HSA-1912420,0.00027807557
R-HSA-193670,0.007755202
R-HSA-193681,0.004441127
R-HSA-193692,0.003984331
R-HSA-205017,0.0036878102
R-HSA-194306,0.00027338372
R-HSA-194840,0.111171745
R-HSA-191859,0.030785399
R-HSA-196299,0.0037334475
R-HSA-4641265,0.048840314
R-HSA-5625900,0.03547215
R-HSA-5625970,0.043368153
R-HSA-5626467,0.028571943
R-HSA-5627083,0.006647931
R-HSA-5627117,0.016845675
R-HSA-5627123,0.01503318
R-HSA-5663213,0.37832505
R-HSA-5663220,0.039550025
