,coef
R-HSA-1296072,5.7391817e-06
R-HSA-1299287,0.0
R-HSA-1299308,9.891766e-09
R-HSA-1299316,0.0
R-HSA-1299344,3.1536026e-12
R-HSA-1299361,1.3477328e-10
R-HSA-1299503,0.0
R-HSA-2395516,2.4821381e-06
R-HSA-140834,4.1544587e-11
R-HSA-140837,7.891678e-08
R-HSA-140875,2.6846658e-06
R-HSA-1475029,2.0475658e-05
R-HSA-2564830,0.00052441435
R-HSA-71737,2.1846698e-05
R-HSA-1433559,0.00029104034
R-HSA-1442490,7.979356e-06
R-HSA-1592389,1.2542699e-06
R-HSA-1566977,1.1347265e-06
R-HSA-216083,2.2853033e-05
R-HSA-3000157,0.00011443224
R-HSA-3000178,0.00018576178
R-HSA-8941237,5.7112757e-06
R-HSA-1237044,3.1695968e-06
R-HSA-1247673,7.556662e-09
R-HSA-1855156,0.0
R-HSA-1855167,8.9262485e-08
R-HSA-1855170,0.0
R-HSA-1855183,0.0004754078
R-HSA-1855184,0.0
R-HSA-1855191,5.5652976e-07
R-HSA-1855192,0.0
R-HSA-1855196,0.0
R-HSA-1855204,3.077887e-08
R-HSA-1855215,0.0
R-HSA-1855229,0.0
R-HSA-1855231,0.0
R-HSA-1221632,0.00024192139
R-HSA-912446,2.63429e-05
R-HSA-373753,0.0003464988
R-HSA-391160,0.0089508705
R-HSA-2473224,1.6970576e-05
R-HSA-156581,1.08811555e-05
R-HSA-156582,0.0
R-HSA-174362,0.000117962496
R-HSA-2129379,0.00076979806
R-HSA-156902,5.6502016e-05
R-HSA-171306,3.3303117e-05
R-HSA-499943,0.0001722552
R-HSA-2151201,2.5712305e-05
R-HSA-2151209,6.57597e-06
R-HSA-8949613,5.7899902e-05
R-HSA-1237112,0.0006392715
R-HSA-1614603,2.5943882e-08
R-HSA-2028269,0.0009790369
R-HSA-2586552,0.00019352285
R-HSA-162699,3.9274053e-10
R-HSA-162710,1.249089e-06
R-HSA-162791,1.2488593e-06
R-HSA-163210,0.0
R-HSA-164378,0.0013194871
R-HSA-163358,1.07047974e-07
R-HSA-163680,0.002042332
R-HSA-163754,0.0
R-HSA-163765,2.434744e-05
R-HSA-163767,1.3954001e-05
R-HSA-1663150,6.257583e-06
R-HSA-204626,5.473701e-07
R-HSA-5358493,8.498854e-06
R-HSA-8948216,1.627884e-05
R-HSA-165181,0.0
R-HSA-166208,1.2412573e-05
R-HSA-380972,7.511392e-05
R-HSA-166665,8.329133e-12
R-HSA-174577,0.0
R-HSA-977606,0.00014490113
R-HSA-1222556,2.8206193e-07
R-HSA-6798695,0.00068226125
R-HSA-879415,4.1449783e-07
R-HSA-168638,9.298493e-06
R-HSA-1679131,8.501454e-05
R-HSA-5686938,2.3433418e-07
R-HSA-918233,1.0251193e-06
R-HSA-933541,5.9710535e-05
R-HSA-933542,0.0001875977
R-HSA-933543,0.0001769487
R-HSA-936440,5.32159e-05
R-HSA-211728,6.71921e-07
R-HSA-211733,0.00029819767
R-HSA-2173791,5.5732917e-06
R-HSA-179812,1.1256342e-07
R-HSA-180292,6.695166e-05
R-HSA-180336,4.615897e-06
R-HSA-182971,6.065923e-07
R-HSA-212718,1.4901813e-06
R-HSA-3134963,8.637796e-05
R-HSA-3134973,0.0015353527
R-HSA-210744,5.3048787e-08
R-HSA-210746,1.3407834e-09
R-HSA-210747,2.539766e-12
R-HSA-186763,8.706315e-05
R-HSA-189451,2.6579798e-06
R-HSA-189483,0.0
R-HSA-1912399,1.8545292e-07
R-HSA-1912408,7.6566685e-05
R-HSA-1912420,4.184569e-05
R-HSA-193670,4.4803273e-05
R-HSA-193681,4.0568325e-06
R-HSA-193692,1.9969568e-06
R-HSA-205017,4.937475e-06
R-HSA-194306,3.0363722e-08
R-HSA-194840,0.00029714755
R-HSA-191859,9.89302e-05
R-HSA-196299,0.00022278639
R-HSA-4641265,2.1848301e-08
R-HSA-5625900,6.935137e-05
R-HSA-5625970,3.1856663e-07
R-HSA-5626467,7.6116965e-05
R-HSA-5627083,0.0
R-HSA-5627117,0.00080592843
R-HSA-5627123,0.0007366619
R-HSA-5663213,0.00027873827
R-HSA-5663220,0.00032189276
R-HSA-5666185,7.424703e-05
R-HSA-5668599,3.602079e-05
R-HSA-3238698,2.762497e-06
R-HSA-196741,6.3842426e-06
R-HSA-196757,0.00017416349
R-HSA-196780,7.6937846e-05
R-HSA-196819,6.4102153e-07
R-HSA-196836,2.4866402e-05
R-HSA-196843,6.126398e-05
R-HSA-947581,0.00025256258
R-HSA-964975,1.43283005e-05
R-HSA-2122947,0.00014477679
R-HSA-2122948,0.00013137794
R-HSA-2197563,3.6941316e-07
R-HSA-2979096,1.4215537e-05
R-HSA-204005,0.00020259438
R-HSA-5694530,7.907341e-08
R-HSA-6807878,0.0009971141
R-HSA-1445148,5.069996e-05
R-HSA-917729,0.000809221
R-HSA-201688,0.0001696001
R-HSA-3769402,0.0006699042
R-HSA-3772470,8.839573e-07
R-HSA-4641257,0.00031574006
R-HSA-4641258,0.00013250919
R-HSA-4641262,4.022284e-06
R-HSA-4641263,0.0012199214
R-HSA-5368598,3.7720454e-06
R-HSA-2214320,0.0
R-HSA-2243919,7.283622e-06
R-HSA-202424,0.0023065908
R-HSA-202427,0.00012597976
R-HSA-202430,0.0
R-HSA-202433,5.1310748e-05
R-HSA-210990,1.494045e-06
