,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
SFT2D2,0.0,0.0,0.0,-0.14887504,0.21565834
PSMA4,0.0016391799,46.0,3.5634344e-05,0.0400739,-3.6830187
BTN2A1,5.7583725e-06,1.0,5.7583725e-06,-0.11834162,0.018854836
NDUFB6,0.00039322124,1.0,0.00039322124,1.9361566,1.4720317
ANKRD13C,0.0,0.0,0.0,-0.14887504,0.21565834
GPC4,4.42461e-05,9.0,4.42461e-05,0.085737206,-1.5839989
TERF2IP,3.0255816e-05,2.0,3.0255816e-05,0.011554585,-0.10766788
COMMD6,0.00033834763,1.0,0.00033834763,1.6451926,1.2662287
EXOSC10,3.1976477e-10,1.0,3.1976477e-10,-0.14887334,-0.002740699
ACBD5,0.0,0.0,0.0,-0.14887504,0.21565834
RYBP,5.512586e-06,2.0,5.512586e-06,-0.11964489,-0.20046721
MT3,5.2633873e-06,1.0,5.2633873e-06,-0.12096624,0.0169984
DNAAF5,0.0,0.0,0.0,-0.14887504,0.21565834
SMC6,6.1130604e-06,1.0,6.1130604e-06,-0.11646091,0.02018509
TXNRD1,0.00082078285,6.0,0.00082078285,4.203276,1.9835974
ACAT2,0.0,0.0,0.0,-0.14887504,0.21565834
ACACB,1.0614343e-05,3.0,1.0614343e-05,-0.092593126,-0.3997333
DLK1,3.53977e-07,1.0,3.53977e-07,-0.14699809,-0.0014143158
CRYAB,0.0,0.0,0.0,-0.14887504,0.21565834
HIPK4,0.0,0.0,0.0,-0.14887504,0.21565834
ROCK1,0.0007872816,6.0,0.0007872816,4.0256376,1.8579512
CLUAP1,4.4191775e-09,1.0,4.4191775e-09,-0.1488516,-0.002725316
TMEM207,0.0,0.0,0.0,-0.14887504,0.21565834
RSF1,5.0725685e-08,1.0,5.0725685e-08,-0.14860606,-0.0025516537
DPP3,0.0,0.0,0.0,-0.14887504,0.21565834
PRKAG2,8.649295e-12,8.0,8.649295e-12,-0.14887498,-1.5315434
ZNF518B,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF737,0.0,0.0,0.0,-0.14887504,0.21565834
LSM6,1.5056804e-08,2.0,1.5056804e-08,-0.14879519,-0.22108564
HNMT,2.0153558e-07,2.0,2.0153558e-07,-0.1478064,-0.22038627
SRSF1,0.0,5.0,0.0,-0.14887504,-0.8763427
PRDM5,0.0,0.0,0.0,-0.14887504,0.21565834
CARHSP1,0.0,0.0,0.0,-0.14887504,0.21565834
SYBU,0.0,0.0,0.0,-0.14887504,0.21565834
DYDC2,0.0,0.0,0.0,-0.14887504,0.21565834
CCDC120,0.0,0.0,0.0,-0.14887504,0.21565834
EPHA1,1.1540405e-05,2.0,1.1540405e-05,-0.087682754,-0.17785992
SEC13,0.0,7.0,0.0,-0.14887504,-1.3131431
POLR1C,0.0,12.0,0.0,-0.14887504,-2.4051442
SV2A,1.7278187e-07,4.0,1.7278187e-07,-0.14795887,-0.6572945
OPN1LW,1.2345147e-08,1.0,1.2345147e-08,-0.14880958,-0.0026955998
RGS22,0.0,0.0,0.0,-0.14887504,0.21565834
TTC26,1.0380998e-10,1.0,1.0380998e-10,-0.14887449,-0.002741505
NSF,6.7696834e-05,6.0,6.7696834e-05,0.21008329,-0.8408464
TRIM16L,0.0,0.0,0.0,-0.14887504,0.21565834
B4GAT1,1.1898553e-07,1.0,1.1898553e-07,-0.14824413,-0.00229565
DYNC1LI2,5.8606753e-07,7.0,5.8606753e-07,-0.14576745,-1.310945
USP25,3.0773735e-09,1.0,3.0773735e-09,-0.14885871,-0.0027303526
SLC26A8,0.0,0.0,0.0,-0.14887504,0.21565834
ISOC2,0.0,0.0,0.0,-0.14887504,0.21565834
UBR3,0.0,0.0,0.0,-0.14887504,0.21565834
MCM6,9.520235e-05,4.0,9.520235e-05,0.3559296,-0.3008868
HEPHL1,0.0,0.0,0.0,-0.14887504,0.21565834
CADM4,0.0,0.0,0.0,-0.14887504,0.21565834
TMEM218,0.0,0.0,0.0,-0.14887504,0.21565834
ZMYND15,0.0,0.0,0.0,-0.14887504,0.21565834
EMC2,0.0,0.0,0.0,-0.14887504,0.21565834
LRP1,0.00032919005,2.0,0.00032919005,1.5966352,1.0134829
ELAC1,0.0,0.0,0.0,-0.14887504,0.21565834
BAP1,5.8810324e-06,1.0,5.8810324e-06,-0.11769122,0.019314872
CELSR2,0.0,0.0,0.0,-0.14887504,0.21565834
PECR,4.932098e-07,1.0,4.932098e-07,-0.14625981,-0.0008921203
MAPK8IP1,0.0,0.0,0.0,-0.14887504,0.21565834
OR2T27,6.1528617e-15,1.0,6.1528617e-15,-0.14887504,-0.0027418935
SYVN1,2.9103444e-07,3.0,2.9103444e-07,-0.14733185,-0.43845084
CMPK1,8.697746e-05,1.0,8.697746e-05,0.31231764,0.32346648
